[2019-09-26 20:25:54,470] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[20]，xpath定位成功
[2019-09-26 20:25:54,498] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[21]，xpath定位成功
[2019-09-26 20:25:54,528] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[22]，xpath定位成功
[2019-09-26 20:25:54,556] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[23]，xpath定位成功
[2019-09-26 20:25:54,585] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[24]，xpath定位成功
[2019-09-26 20:25:54,614] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[25]，xpath定位成功
[2019-09-26 20:25:54,643] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[26]，xpath定位成功
[2019-09-26 20:25:54,671] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[27]，xpath定位成功
[2019-09-26 20:25:54,700] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[28]，xpath定位成功
[2019-09-26 20:25:54,745] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[1]/div[4]/div/div[2]/div/div[2]/div[1]/span[29]，xpath定位成功
[2019-09-26 20:25:57,882] - log.py[line:33] - INFO: //*[@id="container"]/div/div[2]/div[2]/div[2]，xpath定位成功
[2019-09-26 20:26:00,974] - log.py[line:33] - INFO: body > div.mint-msgbox-wrapper > div > div.mint-msgbox-btns > button.mint-msgbox-btn.mint-msgbox-confirm，css定位成功
[2019-09-26 20:26:01,054] - log.py[line:33] - INFO: 进入机票列表
